car,move
P,-1
O,-1
A,-2
O,1
K,-1
K,-1
L,-1
B,-2
V,3
V,-2
U,1
B,2
A,1
W,1
P,1
V,2
V,-3
O,-2
A,2
U,-1
M,1
N,-1
N,-2
V,1
M,-1
P,-1
O,1
Y,-1
U,1
O,-1
P,2
A,-2
V,-1
N,3
A,-1
N,-1
V,1
V,-1
U,-1
V,2
V,-2
U,1
M,1
B,-1
A,1
V,2
S,-1
V,-2
A,1
L,1
P,-1
L,-1
N,-1
U,-2
T,1
U,1
V,4
T,-1
I,1
N,-1
N,1
U,1
A,-1
B,1
N,1
M,-1
O,1
V,-1
U,-2
S,1
P,-1
N,1
B,-1
A,-1
A,1
W,-1
I,-1
W,1
Y,1
V,-3
L,1
K,2
U,2
P,2
O,1
A,-1
U,-2
E,1
P,-2
B,-1
Y,-1
P,2
O,-2
N,-1
B,2
K,1
L,-1
P,-1
B,-2
V,3
I,1
B,1
S,-1
A,2
V,2
N,-1
V,1
N,1
I,-1
V,-2
N,-2
L,1
Y,1
N,1
C,1
I,1
Y,-1
V,1
G,-2
B,1
G,1
A,-2
G,1
B,-3
M,1
N,2
B,2
M,-1
B,1
V,-1
N,-1
U,1
A,2
U,1
U,-1
G,-1
E,1
N,1
L,-1
V,2
C,1
N,-1
V,-3
N,1
B,-1
U,-1
G,1
O,1
S,1
U,2
O,-1
Y,1
M,1
M,-1
G,-2
N,-3
G,2
T,1
K,1
B,1
C,-2
A,-2
O,1
R,1
D,-2
L,-1
I,-2
R,-1
D,1
F,1
U,-2
B,2
B,-4
V,-3
B,-1
R,1
O,-1
B,4
P,1
A,1
O,1
P,-1
A,2
L,2
K,-2
U,1
K,2
P,1
T,-1
K,2
K,-4
A,-2
B,-1
D,-1
K,4
P,-2
J,-1
J,1
L,-2
A,-1
F,-1
V,1
R,-1
F,4
N,1
F,-2
E,1
O,-1
A,1
V,-1
P,2
O,1
K,-2
B,1
F,1
N,-1
W,-1
P,-1
Y,-1
Y,1
K,2
K,-3
U,-1
F,-1
N,3
U,2
N,-2
A,1
N,-1
I,-1
N,1
K,2
P,-1
I,1
K,1
E,-1
F,-1
N,1
P,2
V,2
V,-1
K,-3
N,1
V,1
Y,-1
L,1
K,1
N,-2
J,-2
K,1
C,1
N,2
P,-2
Z,-1
Y,-1
V,-1
A,-1
B,-1
F,-1
W,1
P,1
G,-2
G,1
U,-1
J,1
G,1
J,-1
G,-2
O,-1
V,2
O,2
I,2
Y,2
G,2
K,-1
Z,-1
K,-1
W,-1
K,3
K,-2
Z,2
G,-1
Z,-2
Z,1
K,-1
I,-2
K,2
K,-1
Z,-1
Y,-2
G,1
O,-1
U,1
N,-1
K,1
Y,-3
U,-1
N,-2
W,1
U,1
V,-2
Y,2
W,-1
T,1
Y,-3
P,-1
C,-1
U,-1
V,-1
C,1
Z,2
J,2
D,2
D,-1
V,2
F,1
J,-1
V,-1
F,-1
R,1
C,-1
B,-1
B,1
B,-1
P,1
V,1
V,-2
R,-1
N,1
K,-1
U,1
F,1
U,-2
K,-1
U,2
V,1
B,3
Z,-1
A,-1
A,4
V,2
S,-1
A,-1
S,1
Y,1
B,-1
Y,5
V,-2
B,1
N,-1
C,1
B,-2
N,1
B,1
U,-1
U,-1
S,-1
P,1
